"Rango"	"Jugador"	"Rango de gremio"	"Cantidad"
"1"	"xHellmuthx"	"Mano derecha"	"133"
"2"	"99alfredo99"	"Oficial"	"0"
"3"	"Claxor"	""	"0"
"4"	"Dssnga"	""	"0"
"5"	"IXAryaStark"	""	"0"
"6"	"J0rgeGC"	""	"0"
"7"	"JackiezB"	"Mano derecha"	"0"
"8"	"julianqtal"	""	"0"
"9"	"LeFemine"	""	"0"
"10"	"Luilo747"	""	"0"
"11"	"naluki"	""	"0"
"12"	"NZ6"	"Maestro del gremio"	"0"
"13"	"Panaderoz"	""	"0"
"14"	"RAMB1TO"	""	"0"
