"Rango"	"Jugador"	"Rango de gremio"	"Cantidad"
"1"	"JackiezB"	"Mano derecha"	"1155349"
"2"	"xHellmuthx"	"Mano derecha"	"719513"
"3"	"Dssnga"	""	"641349"
"4"	"NZ6"	"Maestro del gremio"	"491986"
"5"	"IXAryaStark"	""	"334862"
"6"	"99alfredo99"	"Oficial"	"249101"
"7"	"LeFemine"	""	"242353"
"8"	"julianqtal"	""	"177655"
"9"	"J0rgeGC"	""	"136499"
"10"	"Panaderoz"	""	"129495"
"11"	"naluki"	""	"78498"
"12"	"Luilo747"	""	"50832"
"13"	"Claxor"	""	"31393"
"14"	"RAMB1TO"	""	"0"
